,category,type_in_category,population,date_in_citation,citation,notes
Demographics - all,all,all,32900000,2022-09-30,https://www.dosm.gov.my/v1/index.php?r=column/cthemeByCat&cat=430&bul_id=MEN2anptL1pCNUZpOHJWTVVPR1ByZz09&menu_id=L0pheU43NWJwRWVSZklWdzQ4TlhUUT09,
Demographics - citizens,all,all,30300000,2022-09-30,https://www.dosm.gov.my/v1/index.php?r=column/cthemeByCat&cat=430&bul_id=MEN2anptL1pCNUZpOHJWTVVPR1ByZz09&menu_id=L0pheU43NWJwRWVSZklWdzQ4TlhUUT09,
Demographics - voting age citizens,all,all,21173638,2022-12-02,https://en.wikipedia.org/wiki/2022_Malaysian_general_election,
Demographics - registered voters,all,all,21173638,2022-12-02,https://en.wikipedia.org/wiki/2022_Malaysian_general_election,
Demographics - voter turnout,all,all,15517227,2022-12-02,https://en.wikipedia.org/wiki/2022_Malaysian_general_election,"this is valid votes actually, not full turnout"
Demographics - voter for ruling coalition,all,all,10618041,2022-12-02,https://en.wikipedia.org/wiki/2022_Malaysian_general_election,
Demographics - citizens,race,malay,17500000,2022-09-30,https://www.dosm.gov.my/v1/index.php?r=column/cthemeByCat&cat=430&bul_id=MEN2anptL1pCNUZpOHJWTVVPR1ByZz09&menu_id=L0pheU43NWJwRWVSZklWdzQ4TlhUUT09,
Demographics - citizens,race,chinese,6900000,2022-09-30,https://www.dosm.gov.my/v1/index.php?r=column/cthemeByCat&cat=430&bul_id=MEN2anptL1pCNUZpOHJWTVVPR1ByZz09&menu_id=L0pheU43NWJwRWVSZklWdzQ4TlhUUT09,
Demographics - citizens,race,indian,2000000,2022-09-30,https://www.dosm.gov.my/v1/index.php?r=column/cthemeByCat&cat=430&bul_id=MEN2anptL1pCNUZpOHJWTVVPR1ByZz09&menu_id=L0pheU43NWJwRWVSZklWdzQ4TlhUUT09,
Demographics - citizens,race,other bumi,3700000,2022-09-30,https://www.dosm.gov.my/v1/index.php?r=column/cthemeByCat&cat=430&bul_id=MEN2anptL1pCNUZpOHJWTVVPR1ByZz09&menu_id=L0pheU43NWJwRWVSZklWdzQ4TlhUUT09,
Demographics - citizens,race,other,200000,2022-09-30,https://www.dosm.gov.my/v1/index.php?r=column/cthemeByCat&cat=430&bul_id=MEN2anptL1pCNUZpOHJWTVVPR1ByZz09&menu_id=L0pheU43NWJwRWVSZklWdzQ4TlhUUT09,
