state,parliament_seat,dun_seat,polling_district,code,polling_centre,latitude,longitude
Perlis,P.001 PADANG BESAR,N.01 TITI TINGGI,JALAN PADANG BESAR,001/01/01,SEKOLAH MENENGAH KEBANGSAAN RAJA PUAN MUDA TENGKU FAUZIAH,100.221,6.63457
Perlis,P.001 PADANG BESAR,N.01 TITI TINGGI,TITI TINGGI,001/01/02,SEKOLAH KEBANGSAAN TITI TINGGI,100.2614028,6.635644444
Perlis,P.001 PADANG BESAR,N.01 TITI TINGGI,FELDA MATA AYER,001/01/03,SEKOLAH KEBANGSAAN (FELDA) MATA AIR,100.2804111,6.666558333
Perlis,P.001 PADANG BESAR,N.01 TITI TINGGI,KAMPONG KASTAM,001/01/04,SEKOLAH KEBANGSAAN PADANG BESAR UTARA,100.318593,6.659444
Perlis,P.001 PADANG BESAR,N.01 TITI TINGGI,PADANG BESAR,001/01/05,SEKOLAH MENENGAH KEBANGSAAN PADANG BESAR UTARA,100.3166,6.650333333
Perlis,P.001 PADANG BESAR,N.01 TITI TINGGI,FELDA RIMBA MAS,001/01/06,SEKOLAH KEBANGSAAN (FELDA) RIMBA MAS,100.299,6.64373
Perlis,P.001 PADANG BESAR,N.01 TITI TINGGI,LUBOK SIREH,001/01/07,SEKOLAH KEBANGSAAN LUBUK SIREH,100.2253417,6.648819444
Perlis,P.001 PADANG BESAR,N.02 BESERI,PEKAN KAKI BUKIT,001/02/01,SEKOLAH JENIS KEBANGSAAN (CINA) KONG HWA,100.208,6.64473
Perlis,P.001 PADANG BESAR,N.02 BESERI,TASOH,001/02/02,PUSAT KO-KURIKULUM JABATAN PENDIDIKAN NEGERI PERLIS KEM TASOH,,
Perlis,P.001 PADANG BESAR,N.02 BESERI,GUAR JENTIK,001/02/03,SEKOLAH KEBANGSAAN GUAR JENTIK,100.222,6.56169
Perlis,P.001 PADANG BESAR,N.02 BESERI,BESERI,001/02/04,SEKOLAH KEBANGSAAN BESERI,100.227947,6.535006
Perlis,P.001 PADANG BESAR,N.02 BESERI,TUNJONG,001/02/05,SEKOLAH MENENGAH KEBANGSAAN TENGKU SULAIMAN,100.234,6.51809
Perlis,P.001 PADANG BESAR,N.03 CHUPING,PANGGAS,001/03/01,SEKOLAH MENENGAH KEBANGSAAN DATUK JAAFAR HASSAN,100.261,6.52497
Perlis,P.001 PADANG BESAR,N.03 CHUPING,SUNGAI BULOH,001/03/02,SEKOLAH KEBANGSAAN BATU BERTANGKUP,100.281,6.55151
Perlis,P.001 PADANG BESAR,N.03 CHUPING,KILANG GULA CHUPING,001/03/03,SEKOLAH RENDAH ISLAM III,100.3388722,6.494255556
Perlis,P.001 PADANG BESAR,N.03 CHUPING,KUBANG PERUN,001/03/04,SEKOLAH MENENGAH KEBANGSAAN GUAR NANGKA,100.289163,6.486759
Perlis,P.001 PADANG BESAR,N.03 CHUPING,GUAR NANGKA,001/03/05,SEKOLAH KEBANGSAAN GUAR NANGKA,100.288,6.475
Perlis,P.001 PADANG BESAR,N.03 CHUPING,FELDA CHUPING,001/03/06,SEKOLAH KEBANGSAAN (FELDA) CHUPING,100.34,6.49707
Perlis,P.001 PADANG BESAR,N.04 MATA AYER,TOK KAYA MAN,001/04/01,SEKOLAH KEBANGSAAN DATO KAYAMAN,100.2457889,6.499502778
Perlis,P.001 PADANG BESAR,N.04 MATA AYER,HUTAN TEMIN,001/04/02,SEKOLAH KEBANGSAAN ORAN,100.254,6.46705
Perlis,P.001 PADANG BESAR,N.04 MATA AYER,KAMPUNG GIAL,001/04/03,SEKOLAH JENIS KEBANGSAAN (CINA) KONG AIK,100.25845,6.472913889
Perlis,P.001 PADANG BESAR,N.05 SANTAN,KAMPONG DARAT,001/05/01,SEKOLAH KEBANGSAAN SERI TUNJONG,100.234,6.51719
Perlis,P.001 PADANG BESAR,N.05 SANTAN,PAYA,001/05/02,SEKOLAH KEBANGSAAN PAYA,100.224,6.5019
Perlis,P.001 PADANG BESAR,N.05 SANTAN,ALOR TAMPANG,001/05/03,PUSAT KEGIATAN (KEMAS) ALOR TAMPANG,,
Perlis,P.001 PADANG BESAR,N.05 SANTAN,PADANG LATI,001/05/04,DEWAN SERI MELATI BESERI,,
Perlis,P.001 PADANG BESAR,N.05 SANTAN,PADANG PAUH,001/05/05,SEKOLAH MENENGAH KEBANGSAAN ABI,100.205858,6.49543
Perlis,P.001 PADANG BESAR,N.05 SANTAN,SANTAN,001/05/06,SEKOLAH KEBANGSAAN SANTAN,100.2334889,6.484836111
Perlis,P.002 KANGAR,N.06 BINTONG,NESAM,002/06/01,SEKOLAH KEBANGSAAN PADANG KOTA,100.181,6.47195
Perlis,P.002 KANGAR,N.06 BINTONG,ABI,002/06/02,SEKOLAH KEBANGSAAN ABI,100.1990833,6.488872222
Perlis,P.002 KANGAR,N.06 BINTONG,KECHOR,002/06/03,SEKOLAH RENDAH ISLAM 1,100.1934667,6.464586111
Perlis,P.002 KANGAR,N.06 BINTONG,HUTAN MELINTANG,002/06/04,SEKOLAH KEBANGSAAN BEHOR EMPIANG,100.195,6.45824
Perlis,P.002 KANGAR,N.06 BINTONG,TELOK KACHANG,002/06/05,SEKOLAH KEBANGSAAN STELLA MARIS,100.185,6.44125
Perlis,P.002 KANGAR,N.06 BINTONG,WANG BINTONG,002/06/06,SEKOLAH KEBANGSAAN BINTONG,100.169,6.44219
Perlis,P.002 KANGAR,N.07 SENA,KAMPONG SALANG,002/07/01,SEKOLAH KEBANGSAAN KAMPONG SALANG,100.210855,6.466515
Perlis,P.002 KANGAR,N.07 SENA,REPOH,002/07/02,KOLEJ VOKASIONAL KANGAR,,
Perlis,P.002 KANGAR,N.07 SENA,ALOR LANCHANG,002/07/03,SEKOLAH KEBANGSAAN JEJAWI,100.229626,6.445542
Perlis,P.002 KANGAR,N.07 SENA,TAMAN INDERA,002/07/04,SEKOLAH KEBANGSAAN SERI INDERA,100.2026417,6.445897222
Perlis,P.002 KANGAR,N.07 SENA,TOK PEDUKA,002/07/05,SEKOLAH KEBANGSAAN SENA,100.207,6.43801
Perlis,P.002 KANGAR,N.07 SENA,PADANG BOHOR,002/07/06,SEKOLAH MENENGAH SAINS TUANKU SYED PUTRA,100.2161694,6.426769444
Perlis,P.002 KANGAR,N.07 SENA,PADANG PETANI,002/07/07,INSTITUT LATIHAN PERINDUSTRIAN KANGAR (ILP),,
Perlis,P.002 KANGAR,N.08 INDERA KAYANGAN,PADANG KATONG,002/08/01,SEKOLAH KEBANGSAAN PUTRA,100.184,6.44452
Perlis,P.002 KANGAR,N.08 INDERA KAYANGAN,DERMA,002/08/02,SEKOLAH MENENGAH KEBANGSAAN SYED HASSAN,100.201403,6.447492
Perlis,P.002 KANGAR,N.08 INDERA KAYANGAN,PEKAN LAMA KANGAR,002/08/03,SEKOLAH MENENGAH KEBANGSAAN DERMA,100.1931361,6.441983333
Perlis,P.002 KANGAR,N.08 INDERA KAYANGAN,PENGKALAN ASSAM,002/08/04,SEKOLAH MENENGAH KEBANGSAAN PUTRA,100.185,6.44361
Perlis,P.002 KANGAR,N.08 INDERA KAYANGAN,PEKAN BARU KANGAR,002/08/05,SEKOLAH KEBANGSAAN SERI PERLIS,100.1945167,6.432922222
Perlis,P.002 KANGAR,N.08 INDERA KAYANGAN,SEBERANG BAKAU,002/08/06,SEKOLAH JENIS KEBANGSAAN (CINA) KHOON AIK,100.196675,6.429897222
Perlis,P.002 KANGAR,N.08 INDERA KAYANGAN,BEHOR GANDIN,002/08/07,SEKOLAH KEBANGSAAN JALAN RAJA SYED ALWI,100.1993722,6.418205556
Perlis,P.002 KANGAR,N.09 KUALA PERLIS,SEBERANG ALOR,002/09/01,SEKOLAH KEBANGSAAN SEBERANG RAMAI,100.131,6.41028
Perlis,P.002 KANGAR,N.09 KUALA PERLIS,HUJONG TANJONG,002/09/02,SEKOLAH JENIS KEBANGSAAN (CINA) KHAY BENG,100.1323361,6.410047222
Perlis,P.002 KANGAR,N.09 KUALA PERLIS,KEPALA BATAS,002/09/03,SEKOLAH KEBANGSAAN KUALA PERLIS,100.133,6.39941
Perlis,P.002 KANGAR,N.09 KUALA PERLIS,KEPALA BATAS,002/09/03,SEKOLAH JENIS KEBANGSAAN (CINA) CHOON SIEW,100.134,6.39857
